Price,Area
4850000,720
4500000,600
6700000,650
4500000,650
5000000,665
17000000,2000
12500000,1550
10500000,1370
10500000,1356
15000000,1680
8700000,980
9000000,1000
11000000,1060
10500000,1095
9700000,1155
10500000,1150
8000000,1250
8500000,990
9300000,1078
9900000,1150
8000000,1150
9000000,1060
4200000,680
28000000,2470
40000000,2100
16000000,2200
17000000,2235
9500000,1025
9500000,950
7500000,895
8500000,1114
13000000,1197
13700000,1380
8000000,1050
10500000,1240
7700000,1110
7500000,1050
9000000,1160
9300000,1078
6000000,555
6200000,650
5000000,600
6500000,650
5200000,700
4200000,646
5500000,560
5500000,670
6000000,740
5500000,636
4200000,680
16500000,1635
11399999,1550
13500000,1500
22500000,1850
40000000,2100
5700000,610
4800000,655
4500000,660
4300000,650
4500000,680
5300000,670
4803000,655
13000000,1800
15500000,1645
13000000,1395
8500000,1150
9400000,1200
8000000,1150
4500000,615
5300000,670
6000000,765
5600000,650
4803000,655
17500000,1760
12000000,1415
15000000,1685
13000000,1800
16600000,1650
13000000,1395
9400000,1200
16600000,1650
13000000,1395
9400000,1200
8000000,1150
5700000,650
5500000,560
6000000,765
5600000,650
4900000,655
13500000,1390
22000000,1590
17500000,1760
17800000,1716
14000000,1680
7200000,1050
7000000,1100
15000000,1635
10000000,1078
17500000,1760
11000000,1415
13000000,1800
12500000,1147
13000000,1197
15000000,1300
7500000,1050
9500000,1240
9000000,1160
6200000,650
5500000,650
5000000,600
5000000,550
5500000,550
4200000,650
5200000,700
4200000,646
6500000,650
6000000,740
5000000,570
5500000,670
4200000,680
5500000,636
4300000,640
15500000,1700
16500000,1635
11399999,1550
12000000,1530
13500000,1500
16000000,1750
22000000,1590
11000000,1415
16600000,1650
14000000,1687
8500000,1150
7500000,1050
6000000,555
4900000,600
4200000,646
6500000,650
4500000,650
6000000,740
5500000,670
4300000,640
5500000,650
13500000,1400
16000000,1750
15000000,1780
11000000,1415
14000000,1687
6900000,1100
8300000,1050
9000000,1160
5100000,700
5200000,625
4200000,646
5500000,670
5500000,550
6500000,650
